"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL182";"GANCICLOVIR";"BW 759U|BW-759U|CYMEVENE|CYTOVENE|Cymevene|GANCICLOVIR|GANCYCLOVIR|GANZYK-RTU|NSC-759656|RS-21592|VALGANCICLOVIR HYDROCHLORIDE IMPURITY A|VIRGAN|VITRASERT|Vitrasert Implant|ZIRGAN";"BW 759U|BW-759U|NSC-759656|RS-21592";"4.0";"Slate Run Pharmaceuticals Llc|Pharmascience Inc|Fresenius Kabi Usa Llc|American Regent Inc|Bausch And Lomb Inc|Par Sterile Products Llc|Hikma Pharmaceuticals Usa Inc|Exela Pharma Sciences Llc|Cheplapharm Arzneimittel Gmbh|Roche Palo Alto Llc";"'-vir'";"1987";"antivirals: antivirals (acyclovir type)";"'-vir(-vir (-ciclovir))'";"1989";"S01AD09 | J05AB06";"S01AD - Antivirals | J05AB - Nucleosides and nucleotides excl. reverse transcriptase inhibitors";"S01A - ANTIINFECTIVES | J05A - DIRECT ACTING ANTIVIRALS";"S01 - OPHTHALMOLOGICALS | J05 - ANTIVIRALS FOR SYSTEMIC USE";"S - SENSORY ORGANS | J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antiviral";"US-9486530-B1";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"1";"1";"1";"1";"1";"Prescription Only";"Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1";"InChI=1S/C9H13N5O4/c10-9-12-7-6(8(17)13-9)11-3-14(7)4-18-5(1-15)2-16/h3,5,15-16H,1-2,4H2,(H3,10,12,13,17)";"False";"0"
"CHEMBL30";"CIMETIDINE";"ACID-EZE|ACILOC|ACINIL|ACITAK 200|ACITAK 400|ACITAK 800|BRUMETIDINA|Brumetadina|CIMAL|CIMETIDINE|CIMETIDINUM|DYSPAMET|GALENAMET|GASTROMET|KENTAMET|NSC-335308|PEPTIMAX 200|PEPTIMAX 400|PEPTIMAX 800|SKF-92334|STOMEDINE|TAGADINE|TAGAMET|TAGAMET 100|TAGAMET HB|TAGAMET HB 200|ULCEDIN|ULCIMET|ULCOMEDINA|ULTEC|Valmagen|ZITA";"NSC-335308|SKF-92334";"4.0";"Dava Pharmaceuticals Inc|Pharmobedient Consulting|Ani Pharmaceuticals Inc|Watson Laboratories Inc|Glaxosmithkline|Luitpold Pharmaceuticals Inc|Pliva Inc|L Perrigo Co|Contract Pharmacal Corp|Cycle Pharmaceuticals Ltd";"'-tidine'";"1975";"H2-receptor antagonists (cimetidine type)";"'-tidine(-tidine)'";"1977";"A02BA51 | A02BA01";"A02BA - H2-receptor antagonists | A02BA - H2-receptor antagonists";"A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) | A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)";"A02 - DRUGS FOR ACID RELATED DISORDERS | A02 - DRUGS FOR ACID RELATED DISORDERS";"A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM";"Antagonist (to histamine-H2 receptors)";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"1";"0";"0";"Over the Counter";"CN/C(=N\CCSCc1nc[nH]c1C)NC#N";"InChI=1S/C10H16N6S/c1-8-9(16-7-15-8)5-17-4-3-13-10(12-2)14-6-11/h7H,3-5H2,1-2H3,(H,15,16)(H2,12,13,14)";"False";"0"
"CHEMBL453";"SULFISOXAZOLE";"Entusil|Eryzole|GANTRISIN|NSC-13120|NSC-683536|Neazolin|Pediazole|SOSOL|SOXAZOLE|SULFAFURAZOLE|SULFALAR|SULFISOXAZOLE|SULPHAFURAZOLE|SULSOXIN|Sulfafurazole|Sulfisoxazole|Sulphafurazole";"NSC-13120|NSC-683536";"4.0";"Parke Davis Div Warner Lambert Co|Hoffmann La Roche Inc|Mk Laboratories Inc|Ani Pharmaceuticals Inc|Watson Laboratories Inc|Alra Laboratories Inc|Impax Laboratories Inc|Barr Laboratories Inc|Valeant Pharmaceuticals International|Heather Drug Co Inc";"";"";"";"";"1971";"J01EB05 | S01AB02";"J01EB - Short-acting sulfonamides | S01AB - Sulfonamides";"J01E - SULFONAMIDES AND TRIMETHOPRIM | S01A - ANTIINFECTIVES";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE | S01 - OPHTHALMOLOGICALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE | S - SENSORY ORGANS";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Discontinued";"Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C";"InChI=1S/C11H13N3O3S/c1-7-8(2)13-17-11(7)14-18(15,16)10-5-3-9(12)4-6-10/h3-6,14H,12H2,1-2H3";"False";"0"
"CHEMBL3";"NICOTINE";"HABITROL|NICABATE|NICODERM CQ|NICOPASS|NICOPATCH|NICORETTE INVISI|NICOTINE|NICOTINELL CLASSIC|NICOTINELL SUPPORT|NICOTINELL TTS 10|NICOTINELL TTS 20|NICOTINELL TTS 30|NICOTROL|NIQUITIN|NIQUITIN CLR|NIQUITIN MINIS CHERRY|NIQUITIN MINIS MINT|NIQUITIN MINIS ORANGE|NIQUITIN MINT|NIQUITIN PRE-QUIT|NIQUITIN STRIPS MINT|Nicotine|Nicotrol Inhaler|Nicotrol NS|PROSTEP|STOPPERS|STUBIT";"";"4.0";"Pfizer Inc|Perrigo R And D Co|Glaxosmithkline Consumer Healthcare Holdings Us Llc|Mcneil Consumer Healthcare|Fertin Pharma As|L Perrigo Co|Ivax Pharmaceuticals Inc Sub Teva Pharmaceuticals Usa|Aurobindo Pharma Ltd|Chattem Inc Dba Sanofi Consumer Healthcare|Pld Acquisitions Llc Dba Avema Pharma Solutions";"";"1985";"";"";"1984";"N07BA01";"N07BA - Drugs used in nicotine dependence";"N07B - DRUGS USED IN ADDICTIVE DISORDERS";"N07 - OTHER NERVOUS SYSTEM DRUGS";"N - NERVOUS SYSTEM";"Smoking Cessation Adjunct";"US-8323683-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"1";"0";"Over the Counter";"CN1CCC[C@H]1c1cccnc1";"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1";"False";"0"
"CHEMBL404";"TAZOBACTAM";"CL 298,741|CL-298741|NSC-759887|TAZOBACTAM|Tazobactam|YTR-830H";"CL 298,741|CL-298741|NSC-759887|YTR-830H";"4.0";"Sandoz Inc|Fresenius Kabi Usa Llc|Fresenius Kabi Anti Infectives Srl|Eugia Pharma Specialities Ltd|Astral Steritech Pvt Ltd|Wyeth Pharmaceuticals Llc|Shandong Anxin Pharmaceutical Co Ltd|Cubist Pharmaceuticals Llc|Istituto Biochimico Italiano Spa|Provepharm Sas";"'-bactam'";"1989";"beta-lactamase inhibitors";"'-bactam(-bactam)'";"1993";"J01CG02";"J01CG - Beta-lactamase inhibitors";"J01C - BETA-LACTAM ANTIBACTERIALS, PENICILLINS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Inhibitor (beta-lactamase)";"US-6900184-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";"C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O";"InChI=1S/C10H12N4O5S/c1-10(5-13-3-2-11-12-13)8(9(16)17)14-6(15)4-7(14)20(10,18)19/h2-3,7-8H,4-5H2,1H3,(H,16,17)/t7-,8+,10+/m1/s1";"False";"0"
"CHEMBL20883";"TEGAFUR";"ATILLON|BMS-200604|CITOFUR|COPAROGIN|EXONAL|FENTAL|FRANROSE|FT-207|FTORAFUR|FULAID|FULFEEL|FURAFLUOR|FUROFUTRAN|FUTRAFUL|J356.722B|LAMAR|LIFRIL|MJF-12264|NEBERK|NITOBANIL|NSC-148958|SINOFLUROL|SUNFURAL|TEFSIEL C|TEGAFUR|TEGAFUR-URACIL|UFTORAL|YOUFUDING";"BMS-200604|FT-207|J356.722B|MJF-12264|NSC-148958";"4.0";"";"";"1979";"";"";"";"L01BC03 | L01BC53";"L01BC - Pyrimidine analogues | L01BC - Pyrimidine analogues";"L01B - ANTIMETABOLITES | L01B - ANTIMETABOLITES";"L01 - ANTINEOPLASTIC AGENTS | L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Antineoplastic";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"1";"0";"0";"0";"0";"Unknown";"O=c1[nH]c(=O)n(C2CCCO2)cc1F";"InChI=1S/C8H9FN2O3/c9-5-4-11(6-2-1-3-14-6)8(13)10-7(5)12/h4,6H,1-3H2,(H,10,12,13)";"False";"0"
"CHEMBL475534";"NITRENDIPINE";"BAY E 5009|BAY-E-5009|BAYOTENSIN|BAYPRESS|DEITEN|NIDREL|NITRENDIPINE|NITREPIN|NSC-758466";"BAY E 5009|BAY-E-5009|NSC-758466";"4.0";"";"'-dipine; -pine'";"1981";"phenylpyridine vasodilators; tricyclic compounds";"'-dipine(-dipine); -pine(-pine)'";"";"C08CA08";"C08CA - Dihydropyridine derivatives";"C08C - SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS";"C08 - CALCIUM CHANNEL BLOCKERS";"C - CARDIOVASCULAR SYSTEM";"Antihypertensive";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1";"InChI=1S/C18H20N2O6/c1-5-26-18(22)15-11(3)19-10(2)14(17(21)25-4)16(15)12-7-6-8-13(9-12)20(23)24/h6-9,16,19H,5H2,1-4H3";"False";"0"
"CHEMBL710";"FINASTERIDE";"AINDEEM|FINASTERIDE|MK-906|NSC-741485|NSC-759318|PROPECIA|PROSCAR|PROSTIDE";"MK-906|NSC-741485|NSC-759318";"4.0";"Accord Healthcare Inc|Mylan Pharmaceuticals Inc|Zydus Pharmaceuticals Usa Inc|Blue Water Biotech Inc|Organon Llc A Sub Of Organon And Co|Ivax Pharmaceuticals Inc Sub Teva Pharmaceuticals Usa|Aurobindo Pharma Ltd|Teva Pharmaceuticals Usa Inc|Gedeon Richter Usa Inc|Hetero Labs Ltd Unit Iii";"'-ster-; -steride'";"1989";"steroids (androgens, anabolics); testosterone reductase inhibitors";"'-ster-(-ster-); -steride(-steride)'";"1992";"G04CB01 | D11AX10";"G04CB - Testosterone-5-alpha reductase inhibitors | D11AX - Other dermatologicals";"G04C - DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY | D11A - OTHER DERMATOLOGICAL PREPARATIONS";"G04 - UROLOGICALS | D11 - OTHER DERMATOLOGICAL PREPARATIONS";"G - GENITO URINARY SYSTEM AND SEX HORMONES | D - DERMATOLOGICALS";"Inhibitor (alpha reductase)";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C";"InChI=1S/C23H36N2O2/c1-21(2,3)25-20(27)17-8-7-15-14-6-9-18-23(5,13-11-19(26)24-18)16(14)10-12-22(15,17)4/h11,13-18H,6-10,12H2,1-5H3,(H,24,26)(H,25,27)/t14-,15-,16-,17+,18+,22-,23+/m0/s1";"False";"0"
"CHEMBL1231";"OXYBUTYNIN";"ANTUROL|CONTIMIN 2.5|CONTIMIN 5|CYSTRIN|DITROPAN|DITROPAN XL|Ditropan|KENTERA|Kentera (previously Oxybutynin Nicobrand)|LYRINEL XL|OXYBUTYNIN|OXYTROL|OXYTROL FOR WOMEN|PROMICTULINE|URIMIN";"";"4.0";"Unique Pharmaceutical Laboratories A Div Of Jb Chemicals And Pharmaceuticals Ltd|Tulex Pharmaceuticals Inc|Abhai Llc|Impax Pharmaceuticals|Allergan Sales Llc|Pharmobedient Consulting|Watson Laboratories Inc|Novast Laboratories Ltd|Bionpharma Inc|Quantum Pharmics Ltd";"";"1962";"";"";"1975";"G04BD04";"G04BD - Drugs for urinary frequency and incontinence";"G04B - UROLOGICALS";"G04 - UROLOGICALS";"G - GENITO URINARY SYSTEM AND SEX HORMONES";"Anticholinergic";"US-8920392-B2";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"1";"0";"Over the Counter";"CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1";"InChI=1S/C22H31NO3/c1-3-23(4-2)17-11-12-18-26-21(24)22(25,19-13-7-5-8-14-19)20-15-9-6-10-16-20/h5,7-8,13-14,20,25H,3-4,6,9-10,15-18H2,1-2H3";"False";"0"
"CHEMBL659";"GALANTAMINE";"(-)-GALANTAMINE|(-)-GALANTHAMINE|ACUMOR XL|CONSION XL|ELMINO XL|GALANTAMINE|GALANTHAMINE|GALSYA XL|GALZEMIC XL|GATALIN XL|GAZYLAN XL|Galantamine|LOTPROSIN XL|LUVENTA XL|NSC-100058|REMINYL|REMINYL XL|Razadyne|ZEEBRAL XL";"NSC-100058";"4.0";"Mylan Pharmaceuticals Inc|Yabao Pharmaceutical Co Ltd Beijing|Sandoz Inc|Heritage Pharma Labs Inc|Aurobindo Pharma Ltd|Chartwell Rx Sciences Llc|Aurobindo Pharma Limited|Hikma Pharmaceuticals Usa Inc|Janssen Pharmaceuticals Inc|Watson Laboratories Inc";"";"2000";"";"";"2001";"N06DA04";"N06DA - Anticholinesterases";"N06D - ANTI-DEMENTIA DRUGS";"N06 - PSYCHOANALEPTICS";"N - NERVOUS SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2";"InChI=1S/C17H21NO3/c1-18-8-7-17-6-5-12(19)9-14(17)21-16-13(20-2)4-3-11(10-18)15(16)17/h3-6,12,14,19H,7-10H2,1-2H3/t12-,14-,17-/m0/s1";"False";"0"
