"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL2104097";"CYPROXIMIDE";"CIPROXIMIDE|CL 53415|CL-53415|CYPROXIMIDE";"CL 53415|CL-53415";"2.0";"";"";"1967";"";"";"";"";"";"";"";"";"Antidepressant; Antipsychotic";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"O=C1NC(=O)C2(c3ccc(Cl)cc3)CC12";"InChI=1S/C11H8ClNO2/c12-7-3-1-6(2-4-7)11-5-8(11)9(14)13-10(11)15/h1-4,8H,5H2,(H,13,14,15)";"False";"0"
"CHEMBL3306031";"TIPRINAST";"TIPRINAST";"";"-1.0";"";"'-ast'";"1983";"antiasthmatics/antiallergics (not acting primarily as antihistamines)";"'-ast(-ast)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cc1c(CC(C)C)sc2nc(C(=O)O)nc(O)c12";"InChI=1S/C12H14N2O3S/c1-5(2)4-7-6(3)8-10(15)13-9(12(16)17)14-11(8)18-7/h5H,4H2,1-3H3,(H,16,17)(H,13,14,15)";"False";"0"
"CHEMBL1205532";"EPROVAFEN";"EPROVAFEN";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(O)CCCCc1ccc(CCCc2ccccc2)s1";"InChI=1S/C18H22O2S/c19-18(20)12-5-4-10-16-13-14-17(21-16)11-6-9-15-7-2-1-3-8-15/h1-3,7-8,13-14H,4-6,9-12H2,(H,19,20)";"False";"0"
"CHEMBL2104303";"ETHYNERONE";"ETHYNERONE";"";"2.0";"";"";"1965";"";"";"";"";"";"";"";"";"Progestin";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#CCl";"InChI=1S/C20H23ClO2/c1-19-8-6-16-15-5-3-14(22)12-13(15)2-4-17(16)18(19)7-9-20(19,23)10-11-21/h12,17-18,23H,2-9H2,1H3/t17-,18+,19+,20-/m1/s1";"False";"0"
"CHEMBL2104935";"MITOTENAMINE";"MITOTENAMINE";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCN(CCCl)Cc1csc2ccc(Br)cc12";"InChI=1S/C13H15BrClNS/c1-2-16(6-5-15)8-10-9-17-13-4-3-11(14)7-12(10)13/h3-4,7,9H,2,5-6,8H2,1H3";"False";"0"
"CHEMBL2104170";"CLIPROFEN";"CLIPROFEN|R-25,160|R-25160";"R-25,160|R-25160";"2.0";"";"'-profen'";"1974";"anti-inflammatory/analgesic agents (ibuprofen type)";"'-profen(-profen)'";"";"";"";"";"";"";"Anti-Inflammatory";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CC(C(=O)O)c1ccc(C(=O)c2cccs2)c(Cl)c1";"InChI=1S/C14H11ClO3S/c1-8(14(17)18)9-4-5-10(11(15)7-9)13(16)12-3-2-6-19-12/h2-8H,1H3,(H,17,18)";"False";"0"
"CHEMBL2105440";"TIGESTOL";"TIGESTOL";"";"2.0";"";"'-gest-'";"1968";"progestins";"'-gest-(-gest-)'";"";"";"";"";"";"";"Progestin";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCCC4)[C@H]3CC[C@@]21C";"InChI=1S/C20H28O/c1-3-20(21)13-11-18-17-9-8-14-6-4-5-7-15(14)16(17)10-12-19(18,20)2/h1,16-18,21H,4-13H2,2H3/t16-,17-,18+,19+,20+/m1/s1";"False";"0"
"CHEMBL2104618";"DEBOXAMET";"DEBOXAMET";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"COc1ccc2[nH]c(C)c(CC(=O)NO)c2c1";"InChI=1S/C12H14N2O3/c1-7-9(6-12(15)14-16)10-5-8(17-2)3-4-11(10)13-7/h3-5,13,16H,6H2,1-2H3,(H,14,15)";"False";"0"
"CHEMBL2110994";"MEBEZONIUM";"MEBEZONIUM CATION|MEBEZONIUM ION";"";"2.0";"";"'-ium; -onium'";"";"quaternary ammonium derivatives; quaternary ammonium derivatives";"'-ium(-ium); -onium(-onium)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"C[N+](C)(C)C1CCC(CC2CCC([N+](C)(C)C)CC2)CC1";"InChI=1S/C19H40N2/c1-20(2,3)18-11-7-16(8-12-18)15-17-9-13-19(14-10-17)21(4,5)6/h16-19H,7-15H2,1-6H3/q+2";"False";"0"
"CHEMBL2105194";"OFORNINE";"OFORNINE|WIN 48,049|WIN-48049";"WIN 48,049|WIN-48049";"2.0";"";"";"1984";"";"";"";"";"";"";"";"";"Antihypertensive";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(c1ccccc1Nc1ccncc1)N1CCCCC1";"InChI=1S/C17H19N3O/c21-17(20-12-4-1-5-13-20)15-6-2-3-7-16(15)19-14-8-10-18-11-9-14/h2-3,6-11H,1,4-5,12-13H2,(H,18,19)";"False";"0"
